Timestamp,Equipment_ID,Driver_ID,Equipment_Type,Fuel_Level (L),Fuel_Consumed (L/hr),Fuel_Tank_Capacity (L),Idle_Time (min),Load (%),RPM,Speed (km/h),Distance_Travelled (km),Fuel_Price (₹),Temperature (°C),Engine_Temperature (°C),Oil_Pressure (psi),Throttle_Position (%),Gear_Position,Driving_Mode,Battery_Voltage (V),Sensor_Fault_Code,Fuel_Efficiency (km/L),Emission_Rate (g/km),Maintenance_Status,Time_Since_Last_Service (hrs),Average_Load_Last_3hr (%),Operational_Status,Refuel_Event,Event_Notes,Location,Hour,Day,Weekday,Is_Weekend,Is_WorkHours,Fuel_Level_Pct,Is_Low_Fuel,Is_Idle,Is_Active,Consumption_Per_Load,Engine_Ambient_Temp_Diff,Maintenance_Due_Soon,Prev_Fuel_Level,Prev_Load,Prev_RPM,Fuel_Level_Change,Avg_Consumption_6h,Avg_Load_6h,Avg_Speed_6h,Avg_Consumption_12h,Avg_Load_12h,Avg_Speed_12h,Avg_Consumption_24h,Avg_Load_24h,Avg_Speed_24h,Has_Sensor_Fault,Engine_Overheating,Oil_Pressure_Warning,Equipment_Type_Excavator,Equipment_Type_Forklift,Equipment_Type_Generator,Equipment_Type_Truck,Gear_Position_1,Gear_Position_2,Gear_Position_N,Driving_Mode_Eco,Driving_Mode_N/A,Driving_Mode_Normal,Driving_Mode_Power,Operational_Status_Running,Operational_Status_Stopped,Maintenance_Status_Needs Service,Maintenance_Status_Normal,Maintenance_Status_Service Due Soon
2024-01-01 00:00:00,Generator_001,D027,Generator,163.47147178300264,0.0,250.0,0.0,0.0,0.0,0.0,0.0,90.7573006403669,-9.851400170037374,0.13016946633762672,17.30913380062207,0.0,N,N/A,12.21212999896503,0,0.0,0.0,Normal,112.87045920562383,0.0,Stopped,No,,Site_5,0,1,0,0,0,65.38858871320106,0,0,0,0.0,9.981569636375001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
2024-01-01 01:00:00,Generator_001,D027,Generator,163.47147178300264,0.0,250.0,0.0,0.0,0.0,0.0,0.0,105.57739634505218,-2.6284280250721626,8.174259789873782,19.617377496547793,0.0,N,N/A,11.58006310568815,0,0.0,0.0,Normal,112.87045920562383,0.0,Stopped,No,,Site_5,1,1,0,0,0,65.38858871320106,0,0,0,0.0,10.802687814945944,0,163.47147178300264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
2024-01-01 02:00:00,Generator_001,D027,Generator,163.47147178300264,0.0,250.0,0.0,0.0,0.0,0.0,0.0,101.59256880171593,-8.435307961202147,5.463846821843399,10.884463507326789,0.0,N,N/A,11.972451572348646,0,0.0,0.0,Normal,112.87045920562383,0.0,Stopped,No,,Site_1,2,1,0,0,0,65.38858871320106,0,0,0,0.0,13.899154783045546,0,163.47147178300264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
2024-01-01 03:00:00,Generator_001,D027,Generator,163.47147178300264,0.0,250.0,0.0,0.0,0.0,0.0,0.0,109.2116260495425,8.071705452136126,18.422038068295976,10.107834001546264,0.0,N,N/A,11.954034771864587,0,0.0,0.0,Normal,112.87045920562383,0.0,Stopped,No,,Site_5,3,1,0,0,0,65.38858871320106,0,0,0,0.0,10.35033261615985,0,163.47147178300264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
2024-01-01 04:00:00,Generator_001,D027,Generator,163.47147178300264,0.0,250.0,0.0,0.0,0.0,0.0,0.0,101.56282174126494,-4.215831135584689,1.137431266163845,19.228645160618164,0.0,N,N/A,12.24942527937942,0,0.0,0.0,Normal,112.87045920562383,0.0,Stopped,No,,Site_5,4,1,0,0,0,65.38858871320106,0,0,0,0.0,5.353262401748534,0,163.47147178300264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
2024-01-01 05:00:00,Generator_001,D027,Generator,163.47147178300264,0.0,250.0,0.0,0.0,0.0,0.0,0.0,95.55697593868538,3.1263977274842283,11.043929814519391,17.373800771260036,0.0,N,N/A,11.527298087528465,0,0.0,0.0,Normal,112.87045920562383,0.0,Stopped,No,,Site_2,5,1,0,0,0,65.38858871320106,0,0,0,0.0,7.917532087035163,0,163.47147178300264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
2024-01-01 06:00:00,Generator_001,D027,Generator,163.47147178300264,0.0,250.0,0.0,0.0,0.0,0.0,0.0,97.39533659932624,-4.3805613703702235,9.19802247042879,10.142030100630906,0.0,N,N/A,11.611549404291969,0,0.0,0.0,Normal,112.87045920562383,0.0,Stopped,No,,Site_5,6,1,0,0,0,65.38858871320106,0,0,0,0.0,13.578583840799013,0,163.47147178300264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
2024-01-01 07:00:00,Generator_001,D027,Generator,163.47147178300264,0.0,250.0,0.0,0.0,0.0,0.0,0.0,106.43447535546873,5.650554105754921,13.01251291382821,11.808091908646524,0.0,N,N/A,12.027388854786862,0,0.0,0.0,Normal,112.87045920562383,0.0,Stopped,No,,Site_1,7,1,0,0,0,65.38858871320106,0,0,0,0.0,7.36195880807329,0,163.47147178300264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
2024-01-01 08:00:00,Generator_001,D027,Generator,163.47147178300264,0.0,250.0,0.0,0.0,0.0,0.0,0.0,96.90151438926544,5.055225937602755,121.9216684746677,13.831669929470676,0.0,N,N/A,12.160667288602777,0,0.0,0.0,Normal,112.87045920562383,0.0,Stopped,No,Engine overheating detected,Site_2,8,1,0,0,0,65.38858871320106,0,0,0,0.0,116.86644253706494,0,163.47147178300264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
2024-01-01 09:00:00,Generator_001,D027,Generator,163.47147178300264,0.0,250.0,0.0,0.0,0.0,0.0,0.0,97.80140973248922,5.109678628970833,11.269622273116202,11.676003967524686,0.0,N,N/A,11.898744802744925,0,0.0,0.0,Normal,112.87045920562383,0.0,Stopped,No,,Site_5,9,1,0,0,1,65.38858871320106,0,0,0,0.0,6.159943644145368,0,163.47147178300264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
2024-01-01 10:00:00,Generator_001,D027,Generator,163.47147178300264,0.0,250.0,0.0,0.0,0.0,0.0,0.0,90.8203523006088,0.6088426515873877,9.95618594828386,12.887922221960315,0.0,N,N/A,12.297309044367228,0,0.0,0.0,Normal,112.87045920562383,0.0,Stopped,No,,Site_3,10,1,0,0,1,65.38858871320106,0,0,0,0.0,9.347343296696472,0,163.47147178300264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
2024-01-01 11:00:00,Generator_001,D027,Generator,163.47147178300264,0.0,250.0,0.0,0.0,0.0,0.0,0.0,95.1068783781444,2.7484830251079924,17.31031958400424,14.317858786172089,0.0,N,N/A,12.41804201641728,0,0.0,0.0,Normal,112.87045920562383,0.0,Stopped,No,,Site_3,11,1,0,0,1,65.38858871320106,0,0,0,0.0,14.561836558896248,0,163.47147178300264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
2024-01-01 12:00:00,Generator_001,D027,Generator,163.47147178300264,0.0,250.0,0.0,0.0,0.0,0.0,0.0,93.59833304781762,-0.7778281311465776,10.975083060219358,12.417969683879125,0.0,N,N/A,12.171889853393468,0,0.0,0.0,Normal,112.87045920562383,0.0,Stopped,No,,Site_5,12,1,0,0,1,65.38858871320106,0,0,0,0.0,11.752911191365936,0,163.47147178300264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
2024-01-01 13:00:00,Generator_001,D027,Generator,163.47147178300264,0.0,250.0,0.0,0.0,0.0,0.0,0.0,95.03792214290493,3.456037194799803,16.772932193048614,10.119614110235032,0.0,N,N/A,11.59769875947583,0,0.0,0.0,Normal,112.87045920562383,0.0,Stopped,No,,Site_4,13,1,0,0,1,65.38858871320106,0,0,0,0.0,13.316894998248811,0,163.47147178300264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
2024-01-01 14:00:00,Generator_001,D027,Generator,135.60748486769614,36.22318298989844,250.0,0.0,109.27025620042129,1425.2264524415862,0.6233216590968427,0.6233216590968427,97.51916880255857,7.879339283028116,80.25525699519015,41.583945141441355,8.251358786218129,1,Eco,11.716824717450805,0,0.02237015330905263,94.2652653078153,Normal,113.87045920562383,6.6094431207223705,Running,No,Excessive load detected,Site_1,14,1,0,0,1,54.24299394707845,0,0,1,0.33150085164492166,72.37591771216204,0,163.47147178300264,0.0,0.0,-27.863986915306498,6.037197164983073,18.21170936673688,0.10388694318280711,3.0185985824915367,9.10585468336844,0.051943471591403556,2.4148788659932294,7.2846837466947525,0.041554777273122845,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
2024-01-01 15:00:00,Generator_001,D027,Generator,135.60748486769614,0.0,250.0,0.0,0.0,0.0,0.0,0.0,102.77561015687044,2.9581167647345055,15.990117423184445,11.847686163783195,0.0,N,N/A,11.610845086691183,0,0.0,0.0,Normal,113.87045920562383,0.0,Stopped,No,,Site_3,15,1,0,0,1,54.24299394707845,0,0,0,0.0,13.03200065844994,0,135.60748486769614,109.27025620042129,1425.2264524415862,0.0,6.037197164983073,18.21170936673688,0.10388694318280711,3.0185985824915367,9.10585468336844,0.051943471591403556,2.2639489368686525,6.82939101252633,0.03895760369355267,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
2024-01-01 16:00:00,Generator_001,D027,Generator,135.60748486769614,0.0,250.0,0.0,0.0,0.0,0.0,0.0,91.24774759751543,-4.472328756845128,4.7975052320167215,19.03391492870295,0.0,N,N/A,12.2698805091539,0,0.0,0.0,Normal,113.87045920562383,0.0,Stopped,No,,Site_2,16,1,0,0,1,54.24299394707845,0,0,0,0.0,9.26983398886185,0,135.60748486769614,0.0,0.0,0.0,6.037197164983073,18.21170936673688,0.10388694318280711,3.0185985824915367,9.10585468336844,0.051943471591403556,2.130775469994026,6.427662129436547,0.036665979946873095,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
2024-01-01 17:00:00,Generator_001,D027,Generator,135.60748486769614,0.0,250.0,0.0,105.99794267893206,0.0,0.0,0.0,99.84114588922716,9.919171342262423,17.501557400503977,18.12800863866991,0.0,N,N/A,11.67792948663663,0,0.0,0.0,Normal,113.87045920562383,0.0,Stopped,No,Excessive load detected,Site_2,17,1,0,0,0,54.24299394707845,0,0,0,0.0,7.582386058241553,0,135.60748486769614,0.0,0.0,0.0,6.037197164983073,35.87803314655889,0.10388694318280711,3.0185985824915367,17.939016573279446,0.051943471591403556,2.012399054994358,11.959344382186297,0.034628981060935704,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
